date,iexId,isEnabled,name,symbol,type
2019-04-02,2321,True,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,EVY,cs
2019-04-02,2322,True,Edwards Lifesciences Corporation,EW,cs
2019-04-02,2323,True,iShares MSCI Australia Index Fund,EWA,et
2019-04-02,2325,True,East West Bancorp Inc.,EWBC,cs
2019-04-02,2326,True,iShares MSCI Canada Index Fund,EWC,et
2019-04-02,15210,True,Invesco S&P 500 Equal Weight Communication Services,EWCO,N/A
2019-04-02,2328,True,iShares Inc MSCI Sweden,EWD,et
2019-04-02,14385,True,Invesco MSCI Emerging Markets Equal Country Weight,EWEM,et
2019-04-02,2330,True,iShares MSCI Germany Index Fund,EWG,et
2019-04-02,2331,True,Ishares MSCI Germany Small Cap,EWGS,N/A
2019-04-02,2332,True,iShares MSCI Hong Kong Index Fund,EWH,et
2019-04-02,2334,True,iShares Inc MSCI Italy,EWI,N/A
2019-04-02,2335,True,iShares MSCI Japan Index Fund,EWJ,N/A
2019-04-02,15491,True,iShares MSCI Japan Equal Weighted ETF,EWJE,N/A
2019-04-02,15492,True,The iShares MSCI Japan Value ETF,EWJV,N/A
2019-04-02,2336,True,iShares Inc MSCI Belgium,EWK,et
2019-04-02,2337,True,iShares Inc MSCI Switzerland,EWL,et
2019-04-02,2338,True,iShares MSCI Malaysia Index Fund,EWM,N/A
2019-04-02,14386,True,Invesco S&P MidCap 400 Equal Weight,EWMC,et
2019-04-02,2339,True,iShares MSCI Netherlands Index Fund,EWN,et
2019-04-02,2340,True,iShares Inc MSCI Austria,EWO,et
2019-04-02,2341,True,iShares Inc MSCI Spain,EWP,et
2019-04-02,2342,True,iShares MSCI France Index Fund,EWQ,et
2019-04-02,14387,True,Invesco S&P 500 Equal Weight Real Estate,EWRE,N/A
2019-04-02,2346,True,iShares Inc MSCI Singapore,EWS,N/A
2019-04-02,14388,True,Invesco S&P SmallCap 600 Equal Weight,EWSC,et
2019-04-02,2348,True,iShares Inc MSCI Taiwan,EWT,N/A
2019-04-02,2349,True,iShares MSCI United Kingdom,EWU,N/A
2019-04-02,2350,True,Ishares MSCI United Kingdom Small Cap,EWUS,N/A
2019-04-02,2351,True,ProShares UltraShort MSCI Japan,EWV,et
2019-04-02,2352,True,iShares Inc MSCI Mexico,EWW,et
2019-04-02,2353,True,SPDR S&P Emerging Markets Small Cap,EWX,et
2019-04-02,2354,True,iShares Inc MSCI South Korea,EWY,et
2019-04-02,2355,True,iShares Inc MSCI Brazil,EWZ,et
2019-04-02,2356,True,iShares MSCI Brazil Small-Cap ETF,EWZS,et
2019-04-02,2361,True,Exact Sciences Corporation,EXAS,cs
2019-04-02,2362,True,Exelon Corporation,EXC,cs
2019-04-02,2363,True,Eaton Vance Tax-Managed Buy-Write Strategy Fund of Beneficial Interest,EXD,cs
2019-04-02,2365,True,Exelixis Inc.,EXEL,cs
2019-04-02,2366,True,EXFO Inc,EXFO,cs
2019-04-02,2367,True,Eaton Vance Tax-Managed Global Diversified Equity Income Fund of Beneficial Interest,EXG,cs
2019-04-02,2369,True,iShares Global Industrials,EXI,et
2019-04-02,12859,True,VelocityShares 1x Daily Inverse VSTOXX Futures ETN,EXIV,N/A
2019-04-02,2370,True,Endeavour Silver Corporation (Canada),EXK,cs
2019-04-02,2374,True,ExlService Holdings Inc.,EXLS,cs
2019-04-02,2375,True,Eagle Materials Inc,EXP,cs
2019-04-02,2376,True,Expeditors International of Washington Inc.,EXPD,cs
2019-04-02,2377,True,Expedia Group Inc.,EXPE,cs
2019-04-02,14649,True,eXp World Holdings Inc.,EXPI,cs
